2171.86025 16.058 0.007
2183.81956 16.303 0.009
2184.81907 16.258 0.009
2188.86966 16.317 0.009
2191.78070 16.350 0.008
2200.80028 16.426 0.008
2206.73541 16.465 0.010
2216.86528 16.414 0.008
2223.72415 16.399 0.008
2226.70028 16.376 0.009
2228.74403 16.369 0.008
2230.65552 16.353 0.009
2232.67735 16.301 0.008
2234.67007 16.291 0.008
2238.61456 16.252 0.008
2240.74623 16.226 0.008
2242.75197 16.197 0.009
2244.80275 16.157 0.008
2249.67100 16.113 0.007
2252.63445 16.076 0.007
2253.65889 16.064 0.007
2256.66348 16.027 0.007
2259.65801 16.006 0.006
2262.66320 15.966 0.007
2269.72435 15.897 0.007
2272.62913 15.852 0.006
2276.63988 15.795 0.007
2279.63934 15.740 0.006
2281.68716 15.699 0.006
2283.71741 15.663 0.006
2288.70294 15.539 0.006
2290.74081 15.500 0.006
2292.71097 15.460 0.006
2294.68179 15.429 0.006
2296.70073 15.413 0.006
2298.72226 15.386 0.006
2300.67390 15.348 0.006
2302.64754 15.329 0.006
2304.65223 15.296 0.006
2315.57556 15.212 0.006
2322.55390 15.146 0.006
2325.56765 15.117 0.006
2330.57636 15.065 0.006
2337.52818 15.067 0.006
2343.52642 15.024 0.006
2353.52028 14.979 0.006
2370.52314 14.946 0.006
2519.88522 16.579 0.010
2526.85729 16.544 0.009
2540.86542 16.464 0.011
2544.78560 16.456 0.010
2550.90342 16.398 0.020
2554.87810 16.332 0.008
2558.87980 16.280 0.009
2571.82531 16.022 0.008
2577.76397 15.815 0.007
2580.79276 15.720 0.006
2588.83035 15.523 0.006
2593.81949 15.463 0.006
2599.73934 15.413 0.006
2607.70360 15.396 0.006
2620.63026 15.360 0.006
2622.80602 15.366 0.006
2624.80067 15.356 0.006
2626.61358 15.352 0.006
2629.61019 15.354 0.006
2634.56439 15.371 0.006
2637.60227 15.353 0.006
2640.64194 15.380 0.006
2642.64017 15.379 0.006
2644.63041 15.388 0.006
2649.65400 15.398 0.006
